company_id,year,net_profit_margin,operational_profit_margin,returns_on_equity,returns_on_capital_employment,returns_on_assets,debt_to_equity,high_leverage_flag,interest_coverage_ratio,icr_label,icr_warning_flag,net_debt,asset_turn_over
ABB,2012-12,8.772,12.220,22.411,31.221,15.987,0.000,False,,Debt Free,False,0.000,1.822
ABB,2014-03,8.699,11.731,25.127,33.883,17.384,0.000,False,,Debt Free,False,0.000,1.998
ABB,2015-03,10.004,13.630,24.440,33.298,16.667,0.000,False,,Debt Free,False,0.000,1.666
ABB,2016-03,9.755,13.963,21.339,30.544,15.780,0.000,False,138.333,,False,0.000,1.618
ABB,2017-03,9.542,13.710,19.971,28.695,13.408,0.000,False,227.500,,False,0.000,1.405
ABB,2018-03,12.159,15.919,23.686,31.010,16.598,0.000,False,160.500,,False,0.000,1.365
ABB,2019-03,12.232,16.445,22.410,30.129,15.301,0.000,False,359.000,,False,0.000,1.251
ABB,2020-03,14.488,18.495,24.393,29.048,16.718,0.072,False,96.778,,False,175.000,1.154
ABB,2021-03,16.032,21.392,26.556,33.466,17.995,0.059,False,55.722,,False,153.000,1.122
ABB,2022-03,16.263,22.023,28.333,36.406,18.916,0.054,False,61.316,,False,152.000,1.163
ABB,2023-03,17.742,22.546,29.768,36.534,20.830,0.035,False,85.000,,False,113.000,1.174
ABB,2024-03,20.533,24.842,32.468,38.419,23.127,0.022,False,141.750,,False,83.000,1.126
ADANIENSOL,2014-03,,,0.000,0.000,,0.000,False,,Debt Free,False,0.000,
ADANIENSOL,2015-03,-5.344,77.099,-0.646,0.937,-0.061,8.958,True,1.425,,True,9701.000,0.011
ADANIENSOL,2016-03,16.773,87.830,13.772,17.118,3.133,3.213,False,2.087,,False,8565.000,0.187
ADANIENSOL,2017-03,14.465,68.950,14.116,16.633,3.247,3.045,False,2.218,,False,8870.000,0.224
ADANIENSOL,2018-03,28.981,71.653,18.871,17.143,6.620,1.722,False,3.315,,False,10428.000,0.228
ADANIENSOL,2019-03,7.652,38.029,6.950,9.858,1.717,2.504,False,2.239,,False,19801.000,0.224
ADANIENSOL,2020-03,6.184,37.299,8.307,13.004,1.778,2.853,False,2.019,,False,23933.000,0.287
ADANIENSOL,2021-03,12.996,39.794,14.464,10.968,2.984,3.038,False,2.393,,False,26653.000,0.230
ADANIENSOL,2022-03,10.979,37.360,12.468,10.564,2.604,3.016,False,2.322,,False,29341.000,0.237
ADANIENSOL,2023-03,9.637,33.988,10.903,9.818,2.375,2.917,False,2.194,,False,32900.000,0.246
ADANIENSOL,2024-03,7.202,34.389,9.461,11.488,2.043,2.933,False,2.285,,False,36304.000,0.284
ADANIENT,2013-03,2.626,12.983,5.693,6.636,1.089,3.240,False,2.233,,False,69009.000,0.415
ADANIENT,2014-03,4.816,17.076,11.138,9.801,2.240,3.030,False,1.848,,False,71692.000,0.465
ADANIENT,2015-03,3.565,19.313,8.932,11.391,1.758,3.248,False,1.877,,False,82827.000,0.493
ADANIENT,2016-03,2.940,4.952,7.475,5.174,2.399,1.433,False,2.010,,False,18364.000,0.816
ADANIENT,2017-03,2.532,5.206,6.544,5.437,1.943,1.475,False,2.109,,False,19804.000,0.767
ADANIENT,2018-03,1.653,5.673,3.937,6.227,1.053,1.169,False,1.921,,False,16176.000,0.637
ADANIENT,2019-03,1.253,4.876,3.429,7.573,1.190,0.762,False,1.522,,False,9732.000,0.949
ADANIENT,2020-03,2.396,5.285,6.137,7.812,2.219,0.733,False,2.014,,False,10467.000,0.926
ADANIENT,2021-03,2.646,6.338,6.096,7.506,2.026,0.946,False,2.179,,False,10724.000,0.766
ADANIENT,2022-03,1.135,5.350,3.540,5.816,0.776,1.869,False,1.871,,False,37312.000,0.683
ADANIENT,2023-03,1.899,6.914,7.328,10.224,1.714,1.610,False,2.432,,False,46890.000,0.903
ADANIENT,2024-03,3.459,11.799,8.535,10.899,2.077,1.671,False,2.749,,False,56609.000,0.600
ADANIGREEN,2017-03,-9.363,80.279,-3.907,7.261,-0.763,3.613,False,1.446,,True,4321.000,0.081
ADANIGREEN,2018-03,-9.324,56.959,-10.291,7.523,-0.878,7.356,True,1.603,,False,9777.000,0.094
ADANIGREEN,2019-03,-23.081,74.150,-24.573,11.671,-3.241,5.764,True,1.426,,True,11065.000,0.140
ADANIGREEN,2020-03,-2.668,56.885,-2.885,8.419,-0.369,6.307,True,1.346,,True,14390.000,0.138
ADANIGREEN,2021-03,5.826,71.735,8.273,8.486,0.634,11.004,True,1.348,,True,23707.000,0.109
ADANIGREEN,2022-03,9.527,68.420,18.707,6.334,0.829,20.211,True,1.536,,False,52258.000,0.087
ADANIGREEN,2023-03,12.513,63.915,13.321,8.078,1.454,7.424,True,1.936,,False,53074.000,0.116
ADANIGREEN,2024-03,13.666,79.371,12.813,9.798,1.430,6.595,True,1.714,,False,63343.000,0.105
ADANIPORTS,2013-03,45.821,66.592,25.633,13.223,7.792,1.817,False,5.030,,False,11398.000,0.170
ADANIPORTS,2014-03,36.046,60.435,19.863,13.424,7.055,1.481,False,3.689,,False,12916.000,0.196
ADANIPORTS,2015-03,37.776,63.427,21.588,13.672,7.244,1.651,False,3.905,,False,17516.000,0.192
ADANIPORTS,2016-03,40.174,64.383,21.148,12.768,7.440,1.654,False,4.722,,False,21797.000,0.185
ADANIPORTS,2017-03,46.238,64.202,22.264,13.634,8.997,1.267,False,5.784,,False,21053.000,0.195
ADANIPORTS,2018-03,32.589,63.208,17.653,16.539,7.812,1.070,False,5.067,,False,21291.000,0.240
ADANIPORTS,2019-03,37.025,60.375,16.597,12.664,7.183,1.137,False,5.693,,False,26930.000,0.194
ADANIPORTS,2020-03,31.879,50.088,14.868,10.677,6.113,1.188,False,4.036,,False,29064.000,0.192
ADANIPORTS,2021-03,40.231,69.227,16.586,13.105,6.770,1.178,False,4.725,,False,33619.000,0.168
ADANIPORTS,2022-03,28.933,55.657,11.843,10.615,5.037,1.146,False,4.465,,False,44774.000,0.174
ADANIPORTS,2023-03,25.854,52.499,11.877,11.077,4.789,1.177,False,4.771,,False,46002.000,0.185
ADANIPORTS,2024-03,30.340,58.362,15.355,15.246,6.927,0.937,False,5.950,,False,45181.000,0.228
ADANIPOWER,2013-03,-34.295,14.345,-53.459,2.083,-4.197,9.736,True,0.690,,True,41773.000,0.122
ADANIPOWER,2014-03,-1.898,29.965,-4.448,9.060,-0.495,6.748,True,1.136,,True,44035.000,0.261
ADANIPOWER,2015-03,-4.368,25.039,-14.253,9.269,-1.395,7.815,True,1.206,,True,44385.000,0.320
ADANIPOWER,2016-03,2.171,34.685,7.378,14.622,0.727,7.061,True,1.547,,False,52729.000,0.335
ADANIPOWER,2017-03,-27.299,26.441,-205.800,10.778,-8.634,17.495,True,0.392,,True,52320.000,0.316
ADANIPOWER,2018-03,-10.358,26.773,-236.558,10.118,-3.025,59.432,True,1.111,,True,52835.000,0.292
